1.20541e+12,	11134,	-3.00191,	-3.00191
1.13225e+12,	108.213,	-8.81847,	-8.81847
1.02992e+12,	108.213,	-8.81847,	-8.81847
1.0396e+12,	11846.6,	-9.38203,	-9.38203
9.63744e+11,	2234.72,	16.0565,	16.0565
8.6416e+11,	2234.72,	16.0565,	16.0565
8.32946e+11,	11846.6,	-9.38203,	-9.38203
7.60018e+11,	3641.08,	-9.11792,	-9.11792
7.34615e+11,	2289.29,	-14.6033,	-14.6033
6.7538e+11,	298.778,	-1.08738,	-1.08738
6.95767e+11,	334.595,	-14.6065,	-14.6065
6.73573e+11,	334.595,	-14.6065,	-14.6065
7.0547e+11,	1446.4,	-14.6397,	-14.6397
6.66468e+11,	1183.77,	-14.6537,	-14.6537
6.33592e+11,	1198.33,	-8.14416,	-8.14416
5.73111e+11,	215.823,	1.20762,	1.20762
5.51257e+11,	6.84925,	1.63214,	1.63214
5.64087e+11,	7.39579,	1.6262,	1.6262
5.83272e+11,	7.3951,	1.62621,	1.62621
5.26639e+11,	304.077,	9.51497,	9.51497
4.79391e+11,	13.0131,	-0.985844,	-0.985844
4.8072e+11,	13.0131,	-0.985844,	-0.985844
3.92467e+11,	56.3062,	-1.11084,	-1.11084
3.95696e+11,	56.3062,	-1.11084,	-1.11084
4.29714e+11,	88.9163,	-7.1739,	-7.1739
3.66626e+11,	78.2773,	8.59207,	8.59207
4.11995e+11,	127.837,	-7.18234,	-7.18234
4.38351e+11,	127.837,	-7.18234,	-7.18234
4.20575e+11,	127.837,	-7.18234,	-7.18234
4.01802e+11,	71.8854,	9.42978,	9.42978
3.81954e+11,	71.8593,	9.42936,	9.42936
3.55743e+11,	71.8593,	9.42936,	9.42936
3.39972e+11,	71.3371,	9.42955,	9.42955
3.54319e+11,	71.8639,	9.42945,	9.42945
3.08163e+11,	71.8635,	9.42945,	9.42945
2.79793e+11,	71.8632,	9.42944,	9.42944
2.4724e+11,	71.8576,	9.42933,	9.42933
2.35118e+11,	71.3207,	9.42942,	9.42942
2.12077e+11,	71.3151,	9.42945,	9.42945
2.15986e+11,	71.3151,	9.42945,	9.42945
2.41192e+11,	71.3151,	9.42945,	9.42945
1.98221e+11,	71.2853,	9.3758,	9.3758
1.7104e+11,	71.8461,	9.42898,	9.42898
2.02585e+11,	6.21803,	2.47932,	2.47932
1.86982e+11,	73.5415,	9.4218,	9.4218
2.36654e+11,	74.9447,	9.41938,	9.41938
2.13271e+11,	74.9447,	9.41938,	9.41938
1.96491e+11,	36.8214,	2.61415,	2.61415
1.77283e+11,	44.8727,	3.69955,	3.69955
1.52824e+11,	19.9262,	3.80897,	3.80897
1.54418e+11,	32.9535,	3.70912,	3.70912
2.01058e+11,	-50.1809,	0.575267,	0.575267
1.71611e+11,	-50.1809,	0.575267,	0.575267
1.45668e+11,	-55.8384,	0.514232,	0.514232
1.32851e+11,	-55.8384,	0.514232,	0.514232
1.66609e+11,	-55.8391,	0.514225,	0.514225
1.66076e+11,	-92.3335,	0.025951,	0.025951
1.44883e+11,	-92.3335,	0.025951,	0.025951
1.62724e+11,	-120.145,	0.453483,	0.453483
1.49305e+11,	-120.582,	0.453483,	0.453483
1.72753e+11,	-120.145,	0.453483,	0.453483
1.57144e+11,	-147.854,	0.39196,	0.39196
9.26367e+10,	-147.854,	0.39196,	0.39196
1.01329e+11,	-148.165,	0.39074,	0.39074
9.61919e+10,	-149.386,	0.388658,	0.388658
8.26099e+10,	-147.855,	0.391955,	0.391955
1.09904e+11,	-146.87,	0.388657,	0.388657
9.01827e+10,	-146.863,	0.388672,	0.388672
8.57326e+10,	-153.695,	0.373762,	0.373762
1.1744e+11,	-153.824,	0.373762,	0.373762
1.12947e+11,	-156.403,	0.367901,	0.367901
9.92047e+10,	-157.114,	0.366361,	0.366361
5.10987e+10,	-183.824,	0.113433,	0.113433
8.0736e+10,	-183.824,	0.113433,	0.113433
1.13593e+11,	-183.824,	0.113433,	0.113433
1.29297e+11,	-183.824,	0.113433,	0.113433
8.15031e+10,	-184.126,	0.111525,	0.111525
6.23095e+10,	-361.472,	0.102006,	0.102006
7.45554e+10,	-317.569,	0.209278,	0.209278
6.4355e+10,	-359.107,	0.149601,	0.149601
6.41156e+10,	-359.107,	0.149601,	0.149601
4.91646e+10,	-359.109,	0.149604,	0.149604
5.27433e+10,	-359.109,	0.149604,	0.149604
6.95868e+10,	-359.109,	0.149604,	0.149604
7.54888e+10,	-369.972,	0.137257,	0.137257
9.83335e+10,	-371.361,	0.135247,	0.135247
1.10438e+11,	-389.763,	0.0796843,	0.0796843
7.23867e+10,	-372.018,	0.134293,	0.134293
7.41088e+10,	-379.234,	0.123766,	0.123766
6.33148e+10,	-379.237,	0.123762,	0.123762
3.13872e+10,	-440.383,	0.00716059,	0.00716059
5.03971e+10,	-411.695,	0.0215148,	0.0215148
3.76186e+10,	-402.774,	0.0274574,	0.0274574
3.66345e+10,	-402.774,	0.0274574,	0.0274574
8.57727e+10,	-467.714,	0.0194457,	0.0194457
5.392e+10,	-467.736,	0.0194412,	0.0194412
5.40196e+10,	-467.737,	0.0194394,	0.0194394
9.75738e+10,	-481.066,	0.0194447,	0.0194447
4.077e+10,	-486.374,	0.0133185,	0.0133185
2.44744e+10,	-481.321,	0.0193565,	0.0193565
8.09948e+10,	-486.759,	0.0131604,	0.0131604
